Entity,Year,Cost of a healthy diet,gdp,population,Region,bmi,row_added,imputed_from,values_imputed
Argentina,2019,3.5200000000000005,20310.856799999998,44288898,America,29.643594,True,"Cost of a healthy diet:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|gdp:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|bmi:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]",True
Argentina,2020,3.6879999999999997,19071.38,44288898,America,30.600892000000005,True,"Cost of a healthy diet:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|gdp:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|bmi:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]",True
Argentina,2021,3.88,20291.561,44288898,America,31.575460000000003,True,"Cost of a healthy diet:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|gdp:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|bmi:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]",True
Argentina,2022,4.319999999999999,20773.8163,44288898,America,32.56794800000001,True,"Cost of a healthy diet:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|gdp:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|bmi:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]",True
Argentina,2023,4.632,21074.560400000002,44288898,America,32.56794800000001,True,"Cost of a healthy diet:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|gdp:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|bmi:GLB",True
Armenia,2017,3.22,14243.875,2914966,Asia,24.40158,False,,False
Armenia,2018,3.31,15037.045,2909971,Asia,25.09498,False,,False
Armenia,2019,3.44,16215.36,2903975,Asia,25.8029,False,,False
Armenia,2020,3.54,15052.936,2890893,Asia,26.49705,False,,False
Armenia,2021,3.8,15921.705,2870339,Asia,27.17718,False,,False
Armenia,2022,4.27,17886.178,2880880,Asia,27.86621,False,,False
Armenia,2023,4.33,19402.752,2943398,Asia,27.86621,False,bmi:GLB,True
Aruba,2017,3.38,38558.004,105737,America,28.227119969298244,False,bmi:REG[America],True
Aruba,2018,3.55,39419.555,106447,America,28.83634057894737,False,bmi:REG[America],True
Aruba,2019,3.79,38435.426,107089,America,29.55908851666667,False,bmi:REG[America],True
Aruba,2020,3.9,28521.69,107411,America,30.303511962280698,False,bmi:REG[America],True
Aruba,2021,4.0,35696.31,107565,America,31.056122609649123,False,bmi:REG[America],True
Aruba,2022,4.5,38877.676,107792,America,31.82160144122807,False,bmi:REG[America],True
Aruba,2023,4.82,40516.81,107946,America,31.82160144122807,False,bmi:GLB,True
Australia,2017,2.33,56684.65,24731044,Oceania,29.14901,False,,False
Australia,2018,2.36,57450.383,25119700,Oceania,29.64319,False,,False
Australia,2019,2.4,57837.062,25482714,Oceania,30.14886,False,,False
Australia,2020,2.51,57059.742,25743787,Oceania,30.68957,False,,False
Australia,2021,2.61,58182.336,25956417,Oceania,31.25505,False,,False
Australia,2022,2.88,59883.65,26200987,Oceania,31.82415,False,,False
Australia,2023,3.1,60461.156,26451126,Oceania,31.82415,False,bmi:GLB,True
Austria,2017,2.06,62612.14,8798779,Europe,16.0986,False,,False
Austria,2018,2.11,63855.78,8841653,Europe,16.26565,False,,False
Austria,2019,2.19,64688.145,8880876,Europe,16.43674,False,,False
Austria,2020,2.31,60349.902,8921402,Europe,16.62115,False,,False
Austria,2021,2.42,62968.94,8967053,Europe,16.82485,False,,False
Austria,2022,2.75,65661.45,9064678,Europe,17.04036,False,,False
Austria,2023,2.91,64394.09,9130434,Europe,17.04036,False,bmi:GLB,True
Azerbaijan,2017,2.9,19659.004,9968510,Asia,23.59459,False,,False
Azerbaijan,2018,2.95,19781.852,10039782,Asia,24.36877,False,,False
Azerbaijan,2019,3.1,20101.492,10110483,Asia,25.1584,False,,False
Azerbaijan,2020,3.28,19126.098,10181736,Asia,25.93212,False,,False
Azerbaijan,2021,3.45,20111.375,10234372,Asia,26.69587,False,,False
Azerbaijan,2022,3.92,21051.244,10295307,Asia,27.50411,False,,False
Azerbaijan,2023,4.13,21310.738,10318209,Asia,27.50411,False,bmi:GLB,True
Bahamas,2017,4.2,33049.87,390496,America,44.00649,False,,False
Bahamas,2018,4.23,33650.24,392718,America,44.72953,False,,False
Bahamas,2019,4.12,33202.355,394684,America,45.44717,False,,False
Bahamas,2020,4.19,26452.525,395874,America,46.16628,False,,False
Bahamas,2021,4.28,31064.682,396381,America,46.89243,False,,False
Bahamas,2022,4.97,34342.79,397542,America,47.61047,False,,False
Bahamas,2023,5.25,35221.31,399452,America,47.61047,False,bmi:GLB,True
Bahrain,2017,3.04,53859.773,1482003,Asia,33.70923,False,,False
Bahrain,2018,3.19,54893.074,1497634,Asia,34.24779,False,,False
Bahrain,2019,3.3,56749.96,1485675,Asia,34.87986,False,,False
Bahrain,2020,3.42,53814.246,1483081,Asia,35.67412,False,,False
Bahrain,2021,3.25,54954.676,1501762,Asia,36.5512,False,,False
Bahrain,2022,3.74,57572.996,1533460,Asia,37.18739,False,,False
Bahrain,2023,4.12,57819.906,1569674,Asia,37.18739,False,bmi:GLB,True
Bangladesh,2017,3.09,6005.707,162186146,Asia,3.69806,False,,False
Bangladesh,2018,3.26,6392.5933,163523109,Asia,3.98976,False,,False
Bangladesh,2019,3.41,6838.326,164913060,Asia,4.29426,False,,False
Bangladesh,2020,3.61,7015.1978,166298024,Asia,4.61226,False,,False
Bangladesh,2021,3.83,7441.0693,167658855,Asia,4.94368,False,,False
Bangladesh,2022,4.13,7888.164,169384891,Asia,5.29035,False,,False
Bangladesh,2023,4.33,8242.398,171466986,Asia,5.29035,False,bmi:GLB,True
Belarus,2017,3.13,25503.98,9495793,Europe,25.4647,False,,False
Belarus,2018,3.13,26363.463,9480031,Europe,25.71212,False,,False
Belarus,2019,3.19,26798.82,9435415,Europe,25.94651,False,,False
Belarus,2020,3.22,26731.496,9350943,Europe,26.15491,False,,False
Belarus,2021,3.3,27611.18,9251368,Europe,26.34413,False,,False
Belarus,2022,3.6,26537.508,9173240,Europe,26.55127,False,,False
Belarus,2023,3.72,27782.438,9115679,Europe,26.55127,False,bmi:GLB,True
Belgium,2017,2.0,58555.152,11376583,Europe,20.70753,False,,False
Belgium,2018,2.07,59383.88,11428608,Europe,20.94379,False,,False
Belgium,2019,2.16,60506.66,11490623,Europe,21.18782,False,,False
Belgium,2020,2.28,57358.836,11540102,Europe,21.44325,False,,False
Belgium,2021,2.26,60669.215,11570843,Europe,21.71175,False,,False
Belgium,2022,2.49,62744.203,11641814,Europe,22.00038,False,,False
Belgium,2023,2.77,62920.645,11712891,Europe,22.00038,False,bmi:GLB,True
Belize,2017,2.56,11574.452,373215,America,37.97209,False,,False
Belize,2018,2.69,11486.803,380232,America,38.73309,False,,False
Belize,2019,2.9,11803.088,385833,America,39.50306,False,,False
Belize,2020,3.16,10032.545,390819,America,40.29014,False,,False
Belize,2021,3.52,11677.461,395355,America,41.09466,False,,False
Belize,2022,3.85,12569.818,402741,America,41.91092,False,,False
Belize,2023,4.32,12455.296,411112,America,41.91092,False,bmi:GLB,True
Benin,2017,2.85,3041.7793,12039777,Africa,8.23948,False,,False
Benin,2018,2.87,3155.4512,12383349,Africa,8.53092,False,,False
Benin,2019,2.89,3281.1047,12726760,Africa,8.84295,False,,False
Benin,2020,2.91,3317.8596,13070169,Africa,9.1767,False,,False
Benin,2021,3.07,3464.2886,13413423,Africa,9.5273,False,,False
Benin,2022,3.25,3588.3252,13759507,Africa,9.8947,False,,False
Benin,2023,3.3,3721.2126,14111035,Africa,9.8947,False,bmi:GLB,True
Bermuda,2017,2.88,96437.195,63603,America,30.88301,False,,False
Bermuda,2018,2.94,95639.23,63852,America,31.51013,False,,False
Bermuda,2019,3.12,95519.92,64130,America,32.13849,False,,False
Bermuda,2020,3.33,88618.086,64404,America,32.76849,False,,False
Bermuda,2021,3.55,92319.67,64672,America,33.39849,False,,False
Bermuda,2022,3.96,98145.17,64772,America,34.00804,False,,False
Bermuda,2023,4.23,103052.35,64721,America,34.00804,False,bmi:GLB,True
Bhutan,2017,4.13,13482.343,754343,Asia,8.85692,False,,False
Bhutan,2018,4.32,13854.8545,759766,Asia,9.43668,False,,False
Bhutan,2019,4.44,14555.188,764830,Asia,10.04012,False,,False
Bhutan,2020,4.87,12979.937,770013,Asia,10.66656,False,,False
Bhutan,2021,5.14,13458.8125,775450,Asia,11.31482,False,,False
Bhutan,2022,5.48,14061.3125,780921,Asia,11.98425,False,,False
Bhutan,2023,5.69,14645.266,786386,Asia,11.98425,False,bmi:GLB,True
Bolivia,2017,3.62,9642.813,11344591,America,23.20854,False,,False
Bolivia,2018,3.61,9907.0625,11508370,America,24.08427,False,,False
Bolivia,2019,3.75,9985.23,11671386,America,24.98196,False,,False
Bolivia,2020,3.78,9000.976,11816301,America,25.90197,False,,False
Bolivia,2021,3.96,9454.198,11937369,America,26.84188,False,,False
Bolivia,2022,4.3,9681.707,12077156,America,27.80303,False,,False
Bolivia,2023,4.57,9843.97,12244161,America,27.80303,False,bmi:GLB,True
Bosnia and Herzegovina,2017,4.07,15554.06,3428684,Europe,22.42233,False,,False
Bosnia and Herzegovina,2018,4.13,16348.134,3386999,Europe,22.98452,False,,False
Bosnia and Herzegovina,2019,4.34,17028.643,3345532,Europe,23.5717,False,,False
Bosnia and Herzegovina,2020,4.34,16746.39,3299352,Europe,24.18778,False,,False
Bosnia and Herzegovina,2021,4.54,18285.672,3244912,Europe,24.82762,False,,False
Bosnia and Herzegovina,2022,5.48,19297.072,3204802,Europe,25.46701,False,,False
Bosnia and Herzegovina,2023,5.95,19803.846,3185072,Europe,25.46701,False,bmi:GLB,True
Botswana,2017,3.01,17352.896,2266749,Africa,15.0859,False,,False
Botswana,2018,3.0,17825.02,2299149,Africa,15.5446,False,,False
Botswana,2019,3.04,18106.01,2332082,Africa,16.01181,False,,False
Botswana,2020,3.21,16289.392,2365895,Africa,16.48969,False,,False
Botswana,2021,3.41,17960.625,2401448,Africa,16.97099,False,,False
Botswana,2022,3.62,18647.373,2439895,Africa,17.45848,False,,False
Botswana,2023,4.01,18932.48,2480242,Africa,17.45848,False,bmi:GLB,True
Brazil,2017,3.15,17724.48,204703440,America,23.65411,False,,False
Brazil,2018,3.23,17917.75,206107265,America,24.64102,False,,False
Brazil,2019,3.39,18018.621,207455459,America,25.64392,False,,False
Brazil,2020,3.69,17327.516,208660845,America,26.6663,False,,False
Brazil,2021,3.97,18075.705,209550291,America,27.70533,False,,False
Brazil,2022,4.39,18554.047,210306411,America,28.76292,False,,False
Brazil,2023,4.55,19079.812,211140731,America,28.76292,False,bmi:GLB,True
Brunei,2017,4.11,78966.87,432787,Asia,28.20222,False,,False
Brunei,2018,4.26,78099.05,437811,Asia,29.05845,False,,False
Brunei,2019,4.36,80228.16,442690,Asia,29.9032,False,,False
Brunei,2020,4.55,80280.9,447411,Asia,30.73948,False,,False
Brunei,2021,4.86,78248.8,451722,Asia,31.56486,False,,False
Brunei,2022,5.32,76357.83,455374,Asia,32.37802,False,,False
Brunei,2023,5.67,76616.7,458959,Asia,32.37802,False,bmi:GLB,True
Bulgaria,2017,3.39,26681.43,7075642,Europe,22.22754,False,,False
Bulgaria,2018,3.47,27739.502,7024745,Europe,22.64054,False,,False
Bulgaria,2019,3.67,29199.834,6975466,Europe,23.05409,False,,False
Bulgaria,2020,3.8,28545.709,6933656,Europe,23.45558,False,,False
Bulgaria,2021,3.93,30971.914,6877222,Europe,23.85309,False,,False
Bulgaria,2022,4.72,32433.15,6825862,Europe,24.24786,False,,False
Bulgaria,2023,5.16,33139.938,6795805,Europe,24.24786,False,bmi:GLB,True
Burkina Faso,2017,2.77,2232.2878,19894413,Africa,4.43681,False,,False
Burkina Faso,2018,2.82,2316.3943,20438289,Africa,4.72953,False,,False
Burkina Faso,2019,2.72,2391.5364,20961956,Africa,5.04297,False,,False
Burkina Faso,2020,2.8,2380.9316,21478691,Africa,5.37614,False,,False
Burkina Faso,2021,2.97,2486.431,21995249,Africa,5.72836,False,,False
Burkina Faso,2022,3.48,2466.0532,22509038,Africa,6.10077,False,,False
Burkina Faso,2023,3.55,2482.0723,23025777,Africa,6.10077,False,bmi:GLB,True
Burundi,2017,3.4,880.99347,11506764,Africa,3.33906,False,,False
Burundi,2018,3.12,868.5555,11859444,Africa,3.55096,False,,False
Burundi,2019,3.1,855.7327,12255339,Africa,3.77201,False,,False
Burundi,2020,3.33,833.9202,12617041,Africa,4.00917,False,,False
Burundi,2021,3.54,836.6656,12965487,Africa,4.26484,False,,False
Burundi,2022,4.0,829.38715,13321102,Africa,4.5345,False,,False
Burundi,2023,4.5,828.58295,13689455,Africa,4.5345,False,bmi:GLB,True
Cambodia,2017,3.55,5632.0312,16073374,Asia,3.09308,False,,False
Cambodia,2018,3.62,6050.591,16274522,Asia,3.32775,False,,False
Cambodia,2019,3.68,6448.885,16481305,Asia,3.57531,False,,False
Cambodia,2020,3.84,6128.782,16725484,Asia,3.83571,False,,False
Cambodia,2021,3.95,6225.5327,16974309,Asia,4.1057,False,,False
Cambodia,2022,4.25,6458.368,17201721,Asia,4.38646,False,,False
Cambodia,2023,4.47,6695.292,17423884,Asia,4.38646,False,bmi:GLB,True
Cameroon,2017,2.6,4797.9756,24128609,Africa,11.53443,False,,False
Cameroon,2018,2.74,4851.48,24806377,Africa,11.87083,False,,False
Cameroon,2019,2.9,4882.3555,25506095,Africa,12.21992,False,,False
Cameroon,2020,3.1,4763.482,26210566,Africa,12.5851,False,,False
Cameroon,2021,3.41,4793.556,26915765,Africa,12.96291,False,,False
Cameroon,2022,3.91,4843.6504,27632770,Africa,13.35076,False,,False
Cameroon,2023,4.2,4870.571,28372690,Africa,13.35076,False,bmi:GLB,True
Canada,2017,3.08,56612.33,36808498,America,26.5356,False,,False
Canada,2018,3.13,57337.492,37294996,America,26.66823,False,,False
Canada,2019,3.19,57583.848,37782934,America,26.80227,False,,False
Canada,2020,3.33,54092.88,38171903,America,26.96251,False,,False
Canada,2021,3.52,56995.117,38454058,America,27.14013,False,,False
Canada,2022,3.92,58321.062,38821259,America,27.31915,False,,False
Canada,2023,4.27,57517.44,39299098,America,27.31915,False,bmi:GLB,True
Cape Verde,2017,3.16,8234.56,512899,Africa,12.13457,False,,False
Cape Verde,2018,2.92,8531.13,513418,Africa,12.66729,False,,False
Cape Verde,2019,2.86,9111.63,514116,Africa,13.23063,False,,False
Cape Verde,2020,2.83,7207.8687,514683,Africa,13.82397,False,,False
Cape Verde,2021,2.92,7685.4194,516655,Africa,14.44278,False,,False
Cape Verde,2022,3.38,8850.106,519750,Africa,15.08562,False,,False
Cape Verde,2023,3.69,9280.9795,522335,Africa,15.08562,False,bmi:GLB,True
Cayman Islands,2017,3.5,74564.74,64561,America,28.22711996929824,False,bmi:REG[America],True
Cayman Islands,2018,3.64,76088.9,65962,America,28.836340578947368,False,bmi:REG[America],True
Cayman Islands,2019,3.61,77440.555,67346,America,29.559088516666673,False,bmi:REG[America],True
Cayman Islands,2020,3.81,72149.33,68703,America,30.3035119622807,False,bmi:REG[America],True
Cayman Islands,2021,4.09,74150.86,70126,America,31.056122609649126,False,bmi:REG[America],True
Cayman Islands,2022,4.34,76359.09,71610,America,31.82160144122807,False,bmi:REG[America],True
Cayman Islands,2023,4.61,78109.35,73055,America,31.82160144122807,False,bmi:GLB,True
Central African Republic,2017,2.95,1103.8661,4793512,Africa,6.21553,False,,False
Central African Republic,2018,3.08,1125.7009,4878663,Africa,6.47109,False,,False
Central African Republic,2019,3.22,1145.0956,4944708,Africa,6.73959,False,,False
Central African Republic,2020,3.38,1136.5706,5026629,Africa,7.02508,False,,False
Central African Republic,2021,3.63,1128.5524,5112103,Africa,7.33513,False,,False
Central African Republic,2022,3.92,1136.8018,5098038,Africa,7.66854,False,,False
Central African Republic,2023,4.09,1132.6764,5152415,Africa,7.66854,False,bmi:GLB,True
Chad,2017,2.82,2496.4927,15622756,Africa,4.58459,False,,False
Chad,2018,2.8,2552.6062,16156535,Africa,4.77826,False,,False
Chad,2019,2.8,2604.9163,16685223,Africa,4.98983,False,,False
Chad,2020,2.95,2513.0159,17224686,Africa,5.21694,False,,False
Chad,2021,3.04,2435.0728,17828274,Africa,5.4568,False,,False
Chad,2022,3.49,2655.71,18455319,Africa,5.71398,False,,False
Chad,2023,3.77,2641.4329,19319075,Africa,5.71398,False,bmi:GLB,True
Chile,2017,3.38,27892.994,18558868,America,34.60929,False,,False
Chile,2018,3.52,28492.662,18893185,America,35.54849,False,,False
Chile,2019,3.67,28218.535,19197748,America,36.50273,False,,False
Chile,2020,3.79,26248.562,19370621,America,37.4911,False,,False
Chile,2021,3.87,29089.85,19456323,America,38.49999,False,,False
Chile,2022,4.43,29569.479,19553033,America,39.52288,False,,False
Chile,2023,5.04,29563.678,19658833,America,39.52288,False,bmi:GLB,True
China,2017,2.8,16757.973,1412354730,Asia,6.22041,False,,False
China,2018,2.82,17806.791,1419008954,Asia,6.58455,False,,False
China,2019,3.0,18820.514,1423520357,Asia,6.96223,False,,False
China,2020,3.25,19215.154,1426106093,Asia,7.36105,False,,False
China,2021,3.13,20843.297,1426437269,Asia,7.77825,False,,False
China,2022,3.41,21499.383,1425179562,Asia,8.21126,False,,False
China,2023,3.53,22687.076,1422584930,Asia,8.21126,False,bmi:GLB,True
Colombia,2017,2.84,16986.033,48131076,America,20.89002,False,,False
Colombia,2018,2.87,17104.13,49024463,America,21.44693,False,,False
Colombia,2019,2.95,17336.771,49907987,America,22.01124,False,,False
Colombia,2020,3.15,15861.5,50629997,America,22.60079,False,,False
Colombia,2021,3.3,17383.09,51188174,America,23.2106,False,,False
Colombia,2022,4.06,18458.72,51737944,America,23.85454,False,,False
Colombia,2023,4.69,18382.998,52321152,America,23.85454,False,bmi:GLB,True
Comoros,2017,4.61,3236.986,756672,Africa,12.31146,False,,False
Comoros,2018,4.55,3303.2568,771597,Africa,12.90641,False,,False
Comoros,2019,4.54,3357.898,786582,Africa,13.53001,False,,False
Comoros,2020,4.49,3424.5398,802172,Africa,14.17787,False,,False
Comoros,2021,4.48,3449.0435,818178,Africa,14.84834,False,,False
Comoros,2022,4.75,3478.1736,834191,Africa,15.54546,False,,False
Comoros,2023,4.93,3516.4817,850390,Africa,15.54546,False,bmi:GLB,True
Congo,2017,3.04,7372.7705,5351013,Africa,7.26138,False,,False
Congo,2018,3.16,7029.3364,5483128,Africa,7.39443,False,,False
Congo,2019,3.24,6939.369,5616656,Africa,7.52993,False,,False
Congo,2020,3.43,6350.5093,5752792,Africa,7.66996,False,,False
Congo,2021,3.74,6263.2114,5892187,Africa,7.8124,False,,False
Congo,2022,4.16,6205.105,6035104,Africa,7.95688,False,,False
Congo,2023,4.33,6172.2876,6182890,Africa,7.95688,False,bmi:GLB,True
Costa Rica,2017,3.54,22622.553,4913177,America,28.30181,False,,False
Costa Rica,2018,3.58,23005.312,4957813,America,29.01541,False,,False
Costa Rica,2019,3.67,23364.783,4999549,America,29.735,False,,False
Costa Rica,2020,3.56,22211.861,5034323,America,30.46733,False,,False
Costa Rica,2021,3.7,23852.926,5059991,America,31.21397,False,,False
Costa Rica,2022,4.13,24831.719,5081764,America,31.97244,False,,False
Costa Rica,2023,4.52,25979.629,5105526,America,31.97244,False,bmi:GLB,True
Cote d'Ivoire,2017,2.66,5556.114,26733376,Africa,8.70969,False,,False
Cote d'Ivoire,2018,2.69,5670.2,27464175,Africa,9.04399,False,,False
Cote d'Ivoire,2019,2.66,5894.879,28193014,Africa,9.39894,False,,False
Cote d'Ivoire,2020,2.73,5787.8154,28915452,Africa,9.77623,False,,False
Cote d'Ivoire,2021,2.91,6045.2046,29639737,Africa,10.17216,False,,False
Cote d'Ivoire,2022,3.25,6272.264,30395004,Africa,10.58711,False,,False
Cote d'Ivoire,2023,3.45,6511.751,31165653,Africa,10.58711,False,bmi:GLB,True
Croatia,2017,3.31,32351.873,4079198,Europe,30.90548,False,,False
Croatia,2018,3.36,33730.875,4024868,Europe,31.81545,False,,False
Croatia,2019,3.44,35123.49,3986338,Europe,32.74408,False,,False
Croatia,2020,3.53,32493.625,3953956,Europe,33.69365,False,,False
Croatia,2021,3.71,36930.47,3924607,Europe,34.66637,False,,False
Croatia,2022,4.21,39861.79,3907031,Europe,35.65174,False,,False
Croatia,2023,4.53,41135.086,3896023,Europe,35.65174,False,bmi:GLB,True
Cuba,2017,4.018,14418.01808,9588144,America,26.514636000000003,True,"Cost of a healthy diet:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|gdp:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|population:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|bmi:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]",True
Cuba,2018,4.042,14831.03516,9765209,America,27.180240000000005,True,"Cost of a healthy diet:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|gdp:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|population:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|bmi:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]",True
Cuba,2019,4.124,14903.06214,9943637,America,27.8533,True,"Cost of a healthy diet:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|gdp:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|population:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|bmi:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]",True
Cuba,2020,4.296,12801.79892,10119638,America,28.535847999999998,True,"Cost of a healthy diet:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|gdp:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|population:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|bmi:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]",True
Cuba,2021,4.4559999999999995,14406.64724,10289881,America,29.229404,True,"Cost of a healthy diet:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|gdp:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|population:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]|bmi:NEI[Jamaica,Bahamas,Haiti,Dominican Republic,Honduras]",True
